1,¡Nosotros atendemos a tu michi! Doctora Cats. Somos especialistas en atender gatos
2,En Hospital Veterinario Delta nos preocupamos por tu amigo felino.
3,"Si tu gato mal está, a nosotros debes visitar. Somos el Centro Veterinario Felino."
4,Veterinarios solo para gatos. Visita CEMEGATOS y mira nuestros servicios.
5,"En AGATAN, cuidamos de tu gato y le damos toda clase de servicios."
6,"Somos Petzer, y bañar perros a domicilio es lo nuestro."
7,"En PetCare, tenemos una estética canina móvil. Tu perro recibirá un buen baño ahí."
8,¡Nosotros embellecemos a tu perro!  Pulgosos Estética Canina. (Pulgas no incluidas)
9,¿Harto de que tu perro huela a perro? El Palacio de las Mascotas se encarga
10,Ruffus & Mila. Ponle clase (e higiene) a tu perro.
11,IMITI. Fiesteros profesionales a tu disposición.
12,"Graduaciones, Bautizos, XV Años, etc… Déjalo a nosotros. Todo para la fiesta"
13,Festeja en grande los logros de tu pequeño con Come Play
14,Fiestas con globos. Globos en todos lados. Globofiesta: Todos flotan
15,Servicios para fiestas con nosotros. Somos Hipo
16,"Para que no andes en taparrabos, compra en Benetton y cambia tu look"
17,Productos de ropa directo a tu hogar en Acapella Store
18,"Compra más barato en SHEIN, y recibe tu conjunto de ropa en un par de días"
19,"Studio F, el hogar de la ropa, con descuentos de hasta el 20%"
20,"Vendemos ropa y papitas en C&A (Te mentimos, las papitas ya no las vendemos)"
21,"Con EnviaFlores.com envía flores a todo el mundo, tu mamá, tus amigos, tu pareja, o hasta a tus abuelos."
22,"Flores a domicilio en Guapa con Flores, para que tengas muchas flores"
23,"Detalles de flores con dulces en Flores cumpleaños, para combinar lo dulce con lo bello"
24,Compra arreglos florales con nosotros. Menta Flores (las flores no huelen a menta)
25,Flores de México muy cerca de ti para cuando quieres comprar flores
